id_rater	85	91	97	117	118	230	368	417	443	451	462	497	498	499	508	509	510	513	608	609	690	703
0	 	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea
3	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea
4	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Yea	Yea	Nay	Yea	Nay	Yea	Yea	Yea	Yea
6	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea
13	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
14	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
15	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
16	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
17	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
18	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Yea	Yea	Yea
30	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
31	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
42	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea
44	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea
49	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	 
50	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
53	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
54	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea
55	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
56	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
64	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
70	 	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
92	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
