vote_id	congress	year	description	vote_id_in_congress	billtype	topic	krippendorff_alpha	nb_voters	['Nay', 'Yea']
703	115.0	2017.0	S. 1393: Jobs for Our Heroes Act	706	S1393	['5 Labor', '5.02 Employment Training and Workforce Development ']	1.0	231	[0, 231]
609	115.0	2017.0	H.Res. 607: Providing for consideration of the bill (H.R. 3043) to modernize hydropower policy, and for other purposes, and providing for consideration of the bill (H.R. 3441) to clarify the treatment of two or more employers as joint employers under the	611	HRES607	['5 Labor', '5.04 Employee Relations and Labor Unions ']	1.0	233	[0, 233]
85	115.0	2017.0	H.J.Res. 42: Disapproving the rule submitted by the Department of Labor relating to drug testing of unemployment compensation applicants.	87	HJRES42	['5 Labor', '5.03 Employee Benefits (includes Employee Pension Contributions)']	1.0	227	[0, 227]
91	115.0	2017.0	H.J.Res. 83: Disapproving the rule submitted by the Department of Labor relating to “Clarification of Employer’s Continuing Obligation to Make and Maintain an Accurate Record of Each Recordable Injury and Illness”.	93	HJRES83	['5 Labor', '5.01 Worker Safety and Protection']	1.0	233	[0, 233]
118	115.0	2017.0	H.J.Res. 66: Disapproving the rule submitted by the Department of Labor relating to savings arrangements established by States for non-governmental employees.	120	HJRES66	['5 Labor', '5.03 Employee Benefits (includes Employee Pension Contributions)']	1.0	234	[0, 234]
117	115.0	2017.0	Motion to Proceed on H.J.Res. 66: Disapproving the rule submitted by the Department of Labor relating to savings arrangements established by States for non-governmental employees.	119	HJRES66	['5 Labor', '5.03 Employee Benefits (includes Employee Pension Contributions)']	0.9799049071963942	235	[234, 1]
690	115.0	2017.0	H.R. 4323: Supporting Veterans in STEM Careers Act	693	HR4323	['5 Labor', '5.02 Employment Training and Workforce Development ']	0.9797324171294105	233	[1, 232]
608	115.0	2017.0	On Ordering the Previous Question: H.Res. 607: Providing for consideration of the bill (H.R. 3043) to modernize hydropower policy, and ...	610	HRES607	['5 Labor', '5.04 Employee Relations and Labor Unions ']	0.9797324171294105	233	[1, 232]
97	115.0	2017.0	H.J.Res. 67: Disapproving the rule submitted by the Department of Labor relating to savings arrangements established by qualified State political subdivisions for non-governmental employees.	99	HJRES67	['5 Labor', '5.03 Employee Benefits (includes Employee Pension Contributions)']	0.9591154329820696	230	[2, 228]
230	115.0	2017.0	S.Amdt. 1378 (Brown) to H.Con.Res. 71: To establish a deficit-neutral reserve fund relating to providing tax benefits to patriot employers that invest in American jobs and provide fair pay and benefits to workers.	232	HCONRES71	['5 Labor', '5.05 Fair Labor Standards and Labour Law']	0.8999876170316139	232	[5, 227]
510	115.0	2017.0	H.Amdt. 419 (Walberg) to H.R. 3354: Amendment to prevent funding to implement the National Labor Relations Board's Ambush Election rule.	512	HR3354	['5 Labor', '5.04 Employee Relations and Labor Unions ']	0.8582430687765598	227	[7, 220]
498	115.0	2017.0	H.Amdt. 398 (Pocan) to H.R. 3354: Amendment sought to restore funding to worker protection agencies, offset with DOL/HHS/ED program administration funds.	500	HR3354	['5 Labor', '5.00 General Labor and Employment']	0.8010913508909645	228	[218, 10]
513	115.0	2017.0	"H.Amdt. 428 (Gibbs) to H.R. 3354: At the end of division F (before the short title), insert the following: SEC. __. None of the funds made available by this Act may be used to implement, administer, or enforce the final regulations on ""Improve Trackin"	515	HR3354	['5 Labor', '5.01 Worker Safety and Protection']	0.7439170242444086	227	[13, 214]
499	115.0	2017.0	H.Amdt. 400 (Meng) to H.R. 3354: Amendment to increase funding for the Women's Bureau within the Department of Labor by $1.064 million, and decrease funding by the same amount for the Bureau of Labor Statistics Prices and Cost of Living Division.	501	HR3354	['5 Labor', '5.00 General Labor and Employment']	0.4580195524276741	228	[198, 30]
509	115.0	2017.0	H.Amdt. 418 (Meadows) to H.R. 3354: Amendment sought to reduce the number of positions and funding at Mine Safety and Health Administration by 10%.	511	HR3354	['5 Labor', '5.01 Worker Safety and Protection']	0.19455429944674296	226	[49, 177]
368	115.0	2017.0	H.Amdt. 180 (Gosar) to H.R. 2810: Amendment sought to direct that any determination of prevailing wage pursuant to this Act, shall be conducted by the Secretary of Labor using surveys carried out by the Bureau that use proper random statistical sampling	370	HR2810	['5 Labor', '5.05 Fair Labor Standards and Labour Law']	0.19163525243071833	234	[51, 183]
451	115.0	2017.0	H.Amdt. 296 (King) to H.R. 3354: Amendment sought to prohibit the use of funds to be used to implement, administer, or enforce the Davis-Bacon Act.	453	HRES3354	['5 Labor', '5.05 Fair Labor Standards and Labour Law']	0.1665830147180002	233	[53, 180]
508	115.0	2017.0	H.Amdt. 417 (Grothman) to H.R. 3354: Amendment sought to reduce the National Labor Relations Board (NLRB) budget by $99,000,000, funding the NLRB at $150,000,000 for FY2018. The amendment also reduces budget authority by $99 million and outlays by $92 mi	510	HR3354	['5 Labor', '5.04 Employee Relations and Labor Unions ']	0.16234540640694428	227	[52, 175]
443	115.0	2017.0	H.Amdt. 276 (King) to H.R. 3354: Amendment sought to prohibit the use of funds to be used to implement, administer, or enforce the Davis-Bacon Act.	445	HRES3354	['5 Labor', '5.05 Fair Labor Standards and Labour Law']	0.14787955057366098	230	[54, 176]
462	115.0	2017.0	H.Amdt. 315 (King) to H.R. 3354: Amendment sought to prohibit the use of funds to be used to implement, administer, or enforce the Davis-Bacon Act.	464	HR3354	['5 Labor', '5.05 Fair Labor Standards and Labour Law']	0.1400693172146894	227	[54, 173]
417	115.0	2017.0	H.Amdt. 227 (King) to H.R. 3219: At the end of division C (before the short title), insert the following SEC. __. None of the funds made available by this Act may be used to implement, administer, or enforce the prevailing wage requirements in subchap	419	HR3219	['5 Labor', '5.05 Fair Labor Standards and Labour Law']	0.12092483854056779	236	[58, 178]
497	115.0	2017.0	H.Amdt. 396 (Kildee) to H.R. 3354: Amendment to increase funding for Youth Employment Activities by $10 million and reduces Department of Labor Salaries and Expenses by the same amount.	499	HR3354	['5 Labor', '5.00 General Labor and Employment']	0.10803593275640555	227	[170, 57]
*	[115.0, 115.0]	*	*	*	*	[' -', '5 Labor']	0.6326844575195139	5071	[1220, 3851]
