icpsr	congress	party_code	state_icpsr	state_abbrev	district_code	occupancy	bioname
0	111.0	Republican Party	32	KS	2	0	JENKINS, Lynn
3	111.0	Republican Party	51	KY	2	0	GUTHRIE, Brett
4	111.0	Republican Party	43	FL	16	0	ROONEY, Thomas J.
6	102.0	Republican Party	51	KY	5	0	ROGERS, Harold Dallas (Hal)
13	114.0	Republican Party	51	KY	1	2	COMER, James
14	114.0	Republican Party	24	OH	8	2	DAVIDSON, Warren
15	114.0	Republican Party	42	AR	4	0	WESTERMAN, Bruce Eugene
16	114.0	Republican Party	21	IL	18	2	LaHOOD, Darin
17	114.0	Republican Party	46	MS	1	2	KELLY, Trent
18	114.0	Republican Party	13	NY	11	2	DONOVAN, Daniel M., Jr.
30	111.0	Republican Party	44	GA	9	2	GRAVES, Tom
31	111.0	Republican Party	71	CA	52	0	HUNTER, Duncan Duane
42	103.0	Republican Party	71	CA	39	0	ROYCE, Edward Randall
44	103.0	Republican Party	71	CA	43	0	CALVERT, Ken
49	112.0	Republican Party	61	AZ	1	0	GOSAR, Paul
50	112.0	Republican Party	61	AZ	5	0	SCHWEIKERT, David
53	112.0	Republican Party	42	AR	1	0	CRAWFORD, Rick
54	112.0	Republican Party	71	CA	19	0	DENHAM, Jeff
55	112.0	Republican Party	42	AR	3	0	WOMACK, Steve
56	109.0	Republican Party	73	WA	5	0	McMORRIS RODGERS, Cathy
64	109.0	Republican Party	49	TX	24	0	MARCHANT, Kenny
70	109.0	Republican Party	49	TX	10	0	McCAUL, Michael T.
92	112.0	Republican Party	41	AL	2	0	ROBY, Martha
93	112.0	Republican Party	41	AL	5	0	BROOKS, Mo
95	112.0	Republican Party	40	VA	9	0	GRIFFITH, H. Morgan
96	112.0	Republican Party	65	NV	2	2	AMODEI, Mark E.
100	102.0	Republican Party	49	TX	3	0	JOHNSON, Sam
103	109.0	Republican Party	47	NC	5	0	FOXX, Virginia Ann
106	109.0	Republican Party	14	PA	15	0	DENT, Charles W.
107	109.0	Republican Party	49	TX	1	0	GOHMERT, Louie
108	109.0	Republican Party	49	TX	2	0	POE, Ted
111	113.0	Republican Party	34	MO	2	0	WAGNER, Ann
112	107.0	Republican Party	49	TX	7	0	CULBERSON, John
113	107.0	Republican Party	48	SC	2	2	WILSON, Addison Graves (Joe)
114	113.0	Republican Party	22	IN	6	0	MESSER, Luke
115	113.0	Republican Party	51	KY	6	0	BARR, Garland H. (Andy) IV
116	113.0	Republican Party	22	IN	2	0	WALORSKI, Jackie
117	113.0	Republican Party	22	IN	5	0	BROOKS, Susan
120	107.0	Republican Party	24	OH	12	0	TIBERI, Patrick (Pat)
123	107.0	Republican Party	14	PA	9	2	SHUSTER, William (Bill)
124	115.0	Republican Party	40	VA	5		GARRETT, Thomas Alexander Jr.
125	115.0	Republican Party	25	WI	8		GALLAGHER, Michael
126	115.0	Republican Party	22	IN	9		HOLLINGSWORTH, Joseph Albert III
127	115.0	Republican Party	45	LA	3		HIGGINS, Clay
128	115.0	Republican Party	45	LA	4		JOHNSON, Mike
130	102.0	Republican Party	12	NJ	4	0	SMITH, Christopher Henry
139	105.0	Republican Party	21	IL	20	0	SHIMKUS, John M.
141	114.0	Republican Party	13	NY	1	0	ZELDIN, Lee M
144	114.0	Republican Party	12	NJ	3	0	MacARTHUR, Thomas Charles
145	114.0	Republican Party	33	MN	6	0	EMMER, Thomas Earl II
146	114.0	Republican Party	64	MT	1	0	ZINKE, Ryan
150	113.0	Republican Party	47	NC	9	0	PITTENGER, Robert
155	113.0	Republican Party	43	FL	3	0	YOHO, Ted
156	108.0	Republican Party	43	FL	25	0	DIAZ-BALART, Mario
161	104.0	Republican Party	48	SC	1	0	SANFORD, Mark
166	105.0	Republican Party	49	TX	8	0	BRADY, Kevin Patrick
167	105.0	Republican Party	49	TX	12	0	GRANGER, Kay
169	102.0	Republican Party	23	MI	4	0	UPTON, Frederick Stephen
170	102.0	Republican Party	49	TX	21	0	SMITH, Lamar Seeligson
175	110.0	Republican Party	71	CA	22	0	MCCARTHY, Kevin
176	110.0	Republican Party	62	CO	5	0	LAMBORN, Doug
186	112.0	Republican Party	34	MO	7	0	LONG, Billy
189	107.0	Republican Party	71	CA	48	0	ISSA, Darrell
196	113.0	Republican Party	34	MO	8	2	SMITH, Jason
197	113.0	Republican Party	41	AL	1	2	BYRNE, Bradley
201	111.0	Republican Party	62	CO	6	0	COFFMAN, Mike
203	111.0	Republican Party	71	CA	4	0	McCLINTOCK, Tom
210	111.0	Republican Party	43	FL	15	0	POSEY, Bill
211	109.0	Republican Party	35	NE	1	0	FORTENBERRY, Jeff
