vote_id	icpsr	outcome
91	0	Yea
97	0	Yea
117	0	Nay
118	0	Yea
230	0	Yea
368	0	Yea
417	0	Yea
443	0	Yea
451	0	Yea
462	0	Yea
497	0	Nay
498	0	Nay
499	0	Nay
508	0	Yea
509	0	Nay
510	0	Yea
513	0	Yea
608	0	Yea
609	0	Yea
690	0	Yea
703	0	Yea
85	3	Yea
91	3	Yea
97	3	Yea
117	3	Nay
118	3	Yea
230	3	Yea
368	3	Yea
417	3	Yea
443	3	Yea
451	3	Yea
462	3	Yea
497	3	Nay
498	3	Nay
499	3	Nay
508	3	Yea
509	3	Nay
510	3	Yea
513	3	Yea
608	3	Yea
609	3	Yea
690	3	Yea
703	3	Yea
85	4	Yea
91	4	Yea
97	4	Yea
117	4	Nay
118	4	Yea
230	4	Yea
368	4	Yea
417	4	Yea
443	4	Yea
451	4	Yea
462	4	Yea
497	4	Nay
498	4	Nay
499	4	Yea
508	4	Yea
509	4	Nay
510	4	Yea
513	4	Nay
608	4	Yea
609	4	Yea
690	4	Yea
703	4	Yea
85	6	Yea
91	6	Yea
97	6	Yea
117	6	Nay
118	6	Yea
230	6	Yea
368	6	Yea
417	6	Yea
443	6	Yea
451	6	Yea
462	6	Yea
497	6	Nay
498	6	Nay
499	6	Nay
508	6	Nay
509	6	Yea
510	6	Yea
513	6	Yea
608	6	Yea
609	6	Yea
690	6	Yea
703	6	Yea
85	13	Yea
91	13	Yea
97	13	Yea
117	13	Nay
118	13	Yea
230	13	Yea
368	13	Yea
417	13	Yea
443	13	Yea
451	13	Yea
462	13	Yea
497	13	Nay
498	13	Nay
499	13	Nay
508	13	Yea
509	13	Yea
510	13	Yea
513	13	Yea
608	13	Yea
609	13	Yea
690	13	Yea
703	13	Yea
85	14	Yea
91	14	Yea
97	14	Yea
117	14	Nay
118	14	Yea
230	14	Yea
368	14	Yea
417	14	Yea
443	14	Yea
451	14	Yea
462	14	Yea
497	14	Nay
498	14	Nay
499	14	Nay
508	14	Yea
509	14	Yea
510	14	Yea
513	14	Yea
608	14	Yea
609	14	Yea
690	14	Yea
703	14	Yea
85	15	Yea
91	15	Yea
97	15	Yea
117	15	Nay
118	15	Yea
230	15	Yea
368	15	Yea
417	15	Yea
443	15	Yea
451	15	Yea
462	15	Yea
497	15	Nay
498	15	Nay
499	15	Nay
508	15	Yea
509	15	Yea
510	15	Yea
513	15	Yea
608	15	Yea
609	15	Yea
690	15	Yea
703	15	Yea
85	16	Yea
91	16	Yea
97	16	Yea
117	16	Nay
118	16	Yea
230	16	Yea
368	16	Nay
417	16	Nay
443	16	Nay
451	16	Nay
462	16	Nay
497	16	Yea
498	16	Nay
499	16	Nay
508	16	Yea
509	16	Yea
510	16	Yea
513	16	Yea
608	16	Yea
609	16	Yea
690	16	Yea
703	16	Yea
85	17	Yea
91	17	Yea
97	17	Yea
117	17	Nay
118	17	Yea
230	17	Yea
368	17	Yea
417	17	Yea
443	17	Yea
451	17	Yea
462	17	Yea
497	17	Nay
498	17	Nay
499	17	Nay
508	17	Yea
509	17	Yea
510	17	Yea
513	17	Yea
608	17	Yea
609	17	Yea
690	17	Yea
703	17	Yea
85	18	Yea
91	18	Yea
97	18	Yea
117	18	Nay
118	18	Yea
230	18	Yea
368	18	Nay
417	18	Nay
443	18	Nay
451	18	Nay
462	18	Nay
497	18	Nay
498	18	Nay
499	18	Yea
508	18	Nay
509	18	Nay
510	18	Nay
513	18	Nay
608	18	Yea
609	18	Yea
690	18	Yea
703	18	Yea
85	30	Yea
91	30	Yea
97	30	Yea
117	30	Nay
118	30	Yea
230	30	Yea
368	30	Yea
417	30	Yea
443	30	Yea
451	30	Yea
462	30	Yea
497	30	Nay
498	30	Nay
499	30	Nay
508	30	Yea
509	30	Yea
510	30	Yea
513	30	Yea
608	30	Yea
609	30	Yea
690	30	Yea
703	30	Yea
85	31	Yea
91	31	Yea
97	31	Yea
117	31	Nay
118	31	Yea
230	31	Yea
368	31	Nay
417	31	Nay
443	31	Nay
451	31	Nay
462	31	Nay
497	31	Nay
498	31	Nay
499	31	Nay
508	31	Yea
509	31	Yea
510	31	Yea
513	31	Yea
608	31	Yea
609	31	Yea
690	31	Yea
703	31	Yea
85	42	Yea
91	42	Yea
97	42	Yea
117	42	Nay
118	42	Yea
230	42	Yea
368	42	Yea
417	42	Yea
443	42	Yea
451	42	Yea
462	42	Yea
497	42	Yea
498	42	Nay
499	42	Yea
508	42	Yea
509	42	Nay
510	42	Yea
513	42	Yea
608	42	Yea
609	42	Yea
690	42	Yea
703	42	Yea
85	44	Yea
91	44	Yea
97	44	Yea
117	44	Nay
118	44	Yea
230	44	Yea
368	44	Yea
417	44	Yea
443	44	Yea
451	44	Yea
462	44	Yea
497	44	Nay
498	44	Nay
499	44	Yea
508	44	Nay
509	44	Yea
510	44	Yea
513	44	Yea
608	44	Yea
609	44	Yea
690	44	Yea
703	44	Yea
85	49	Yea
91	49	Yea
97	49	Yea
117	49	Nay
118	49	Yea
230	49	Yea
368	49	Yea
417	49	Yea
443	49	Yea
451	49	Yea
462	49	Yea
497	49	Nay
498	49	Nay
499	49	Nay
508	49	Yea
509	49	Yea
510	49	Yea
513	49	Yea
608	49	Yea
609	49	Yea
690	49	Yea
85	50	Yea
91	50	Yea
97	50	Yea
117	50	Nay
118	50	Yea
230	50	Yea
368	50	Yea
417	50	Yea
443	50	Yea
451	50	Yea
462	50	Yea
497	50	Nay
498	50	Nay
499	50	Yea
508	50	Yea
509	50	Yea
510	50	Yea
513	50	Yea
608	50	Yea
609	50	Yea
690	50	Yea
703	50	Yea
85	53	Yea
91	53	Yea
97	53	Yea
117	53	Nay
118	53	Yea
