alpha	dataset_size	minimum_threshold_alpha	sample_size	confidence_interval_taylor	confidence_interval_empirical	confidence_interval_empirical_percentile	error	error_empirical	normal_distribution_pvalue	follows_normal
0.05	17346	1	190	[0.20837433815754203, 0.33026651320875566]	[0.20897946190699898, 0.3295585300997934]	(0.21054176223873478, 0.32985786950438245)	0.010772691994933248	0.021133988170148	0.5053772745612863	1
0.05	17346	1	208	[0.2110998409255218, 0.3275373779002895]	[0.21162759424769595, 0.3280697757952774]	(0.21163987527389516, 0.3285276389497136)	0.009063450521217598	0.013031798462934785	0.8040627052718468	1
0.05	17346	1	225	[0.21336872917530492, 0.3252655925873531]	[0.2135480928697888, 0.3257516667673121]	(0.21413512894788012, 0.32731603286477307)	0.005921164624283604	0.02472055027885245	0.5146309733390808	1
0.05	17346	1	242	[0.21539518456542894, 0.3232366471594772]	[0.2160370106253825, 0.32321673144818164]	(0.21770826454741599, 0.32375245984887)	0.006136246257528399	0.02610708569387743	0.5552659587548889	1
0.05	17346	1	260	[0.21732138445008742, 0.32130816567914133]	[0.2170874506184376, 0.3217199699711083]	(0.21803744744008913, 0.3241401359396683)	0.006171485954957201	0.03321545328934816	0.6694727753193958	1
0.05	17346	1	277	[0.2189662344509895, 0.3196614331101253]	[0.2196729138482505, 0.3196746135626932]	(0.2203691443073218, 0.3192862355217362)	0.007147963815706593	0.017658314084472715	0.6947386735002283	1
0.05	17346	1	294	[0.2204670458491339, 0.31815895685582574]	[0.2203800706300634, 0.31762362385765674]	(0.21998088984413522, 0.31823081225849514)	0.00636444370825251	0.005679509906529323	0.8448264656462963	1
0.05	17346	1	312	[0.22192124455250517, 0.3167031931123353]	[0.22171872888080987, 0.31767228945492737]	(0.22214003902188795, 0.31801625463296757)	0.012210198425960161	0.01594105655155653	0.6581572890281677	1
0.05	17346	1	329	[0.22318424474131393, 0.31543887207406485]	[0.2238993616468718, 0.31520473418539546]	(0.22405895197434045, 0.3153111137505795)	0.010289508739799058	0.010866290239253562	0.6664408222857781	1
0.05	17346	1	346	[0.2243535797460946, 0.3142683460142779]	[0.22392361854092624, 0.31468767222410976]	(0.2246467232144942, 0.3159400550309214)	0.009357089955068676	0.021453522246953405	0.5051215146298199	1
