alpha	dataset_size	minimum_threshold_alpha	sample_size	confidence_interval_taylor	confidence_interval_empirical	confidence_interval_empirical_percentile	error	error_empirical	normal_distribution_pvalue	follows_normal
0.05	4704	1	51	[0.20008771715038054, 0.3401208909344684]	[0.20118353511333542, 0.34050627510884957]	(0.20187733337598956, 0.3414160774494086)	0.010548478483692558	0.021827202509264843	0.6513605579565807	1
0.05	4704	1	56	[0.20332225055100817, 0.33688598085417465]	[0.203814024060386, 0.33697477317356256]	(0.2057083957903877, 0.33852098393789465)	0.0043438448999972845	0.029742499965532576	0.06779802479123548	1
0.05	4704	1	61	[0.2061519889367167, 0.33405592753956503]	[0.2061076683208965, 0.3344562231939427]	(0.20595462467116699, 0.33420563899925904)	0.003464131486619837	0.002706222068200037	0.982756290101939	1
0.05	4704	1	65	[0.20817756771966156, 0.3320301316979313]	[0.20805043499427928, 0.3324014220164149]	(0.20865203804560828, 0.33248142912831224)	0.004008195317156682	0.0074476186486613916	0.8034840908138485	1
0.05	4704	1	70	[0.21046224037555272, 0.329745222603111]	[0.21018017253924953, 0.32918650675642386]	(0.2098314293446637, 0.3294840766521919)	0.0070320188260806216	0.0074383184583752815	0.7723841600129283	1
0.05	4704	1	75	[0.21251556792559323, 0.3276916901393322]	[0.21250048934353624, 0.3278701190515952]	(0.2135483939409457, 0.327315727747602)	0.0016772827893237752	0.012231601307676643	0.8042111992835999	1
0.05	4704	1	79	[0.21401660676306178, 0.32619050604655553]	[0.2138487098905753, 0.32658279082305236]	(0.21453509841167506, 0.3268332615189051)	0.004969053229953002	0.010293224200593754	0.8278898810370849	1
0.05	4704	1	84	[0.21574079732529505, 0.32446615336902285]	[0.21566592010164096, 0.3246180262056143]	(0.2162629612401631, 0.32484881771591834)	0.0020811902436210783	0.00829295828596377	0.7230692717991773	1
0.05	4704	1	89	[0.21731842508218535, 0.3228883817120355]	[0.2182475423140372, 0.32246770494063626]	(0.21825034412317112, 0.32388711586526087)	0.012785777756674999	0.018116514147115348	0.48319095426230885	1
0.05	4704	1	94	[0.21876922944118327, 0.3214374487614613]	[0.21804493873293918, 0.32116460116426293]	(0.21846548599538174, 0.32099923430055843)	0.009644202516868816	0.007205436186449088	0.6405153756302517	1
0.05	4704	1	98	[0.21984954792366806, 0.3203570368532599]	[0.21937894703216107, 0.3211721534475301]	(0.21965463127648288, 0.32119282706322794)	0.01263068068148665	0.010150927433435597	0.5762239694595337	1
0.05	4704	1	103	[0.221111032278971, 0.31909544592007644]	[0.22082006568270485, 0.31957105671722263]	(0.22114942006310145, 0.3203896575057703)	0.007762731142054058	0.013422822553999292	0.9662907766141826	1
0.05	4704	1	108	[0.22228450558958102, 0.31792187589990806]	[0.22272898313365955, 0.31750883730233814]	(0.22377414987026112, 0.318532931247433)	0.008966329154241226	0.02182580768305431	0.21877962029637443	1
0.05	4704	1	112	[0.22316657683227448, 0.3170397335066111]	[0.22308670047517132, 0.316788960585651]	(0.22366964999886874, 0.3179837747292876)	0.0035193039265971615	0.015262150974368671	0.7641692161560059	1
0.05	4704	1	117	[0.22420541260449123, 0.316000815637544]	[0.22460906551862936, 0.3153455897318733]	(0.22397505211271374, 0.31550698744799466)	0.011535205302465434	0.007869412364412964	0.8174714900847868	1
0.05	4704	1	122	[0.22518024462304798, 0.315025908251387]	[0.22543934304186247, 0.314259187598617]	(0.22598219131417474, 0.31475350160811966)	0.01141756908633862	0.01195776502735102	0.3601370682951495	1
0.05	4704	1	127	[0.2260974268216337, 0.3141086566196576]	[0.226153499782876, 0.3134122619677181]	(0.22677327069988396, 0.31449667320199326)	0.008549677295824898	0.012034723192191121	0.6492923859386737	1
0.05	4704	1	131	[0.2267933881023635, 0.3134126436085857]	[0.22711855464881642, 0.31361134639509375]	(0.22652506200726208, 0.31352266698299247)	0.006034112564530014	0.0043489641998047945	0.8843653430279994	1
0.05	4704	1	136	[0.22762018971272668, 0.31258578161445916]	[0.22734416131569854, 0.3134510496962247]	(0.22718604321167213, 0.3139642675871699)	0.01325441553235629	0.020888102825449062	0.7198449579823465	1
0.05	4704	1	141	[0.22840304199325523, 0.31180287323270395]	[0.22801296442893668, 0.31194238370319294]	(0.22848540503170334, 0.31264299753390756)	0.006309921352809611	0.010950710191276802	0.8219115493898023	1
0.05	4704	1	145	[0.22900024206728864, 0.31120563106340504]	[0.22910435427664394, 0.31070407343256984]	(0.2293626349831447, 0.31042571855553713)	0.007367763203688704	0.013895748656793327	0.9237515808712097	1
0.05	4704	1	150	[0.22971323468212468, 0.3104925889866321]	[0.2295557045749019, 0.31094028647822913]	(0.23029053201190264, 0.3115777218675987)	0.007436637071364549	0.020307098571057836	0.7373699564129128	1
0.05	4704	1	155	[0.23039181610932968, 0.30981396128858296]	[0.23020547582558468, 0.30956538977711706]	(0.23035489003355836, 0.309503747454579)	0.00546313364312212	0.004368788916008781	0.8515261459059035	1
0.05	4704	1	159	[0.2309117327520509, 0.30929400972446985]	[0.23110856912912492, 0.3091981713600871]	(0.2307813898980957, 0.3092200777274515)	0.0037339402829514867	0.002601809128586763	0.9375765974892293	1
