alpha	dataset_size	minimum_threshold_alpha	sample_size	confidence_interval_taylor	confidence_interval_empirical	confidence_interval_empirical_percentile	error	error_empirical	normal_distribution_pvalue	follows_normal
0.05	1540	1	16	[0.0181430786854051, 0.12563518925927475]	[0.017334998345430473, 0.12661605771224824]	(0.028441005230043337, 0.1343928199055413)	0.01637016335047814	0.163919136429046	3.2688322345295784e-26	0
0.05	1540	1	18	[0.021058588583270588, 0.12233660146156433]	[0.019410594039241197, 0.12435534020722785]	(0.028782432051562612, 0.1318722412362573)	0.03493965561480816	0.155752317785545	5.0633943384919025e-25	0
0.05	1540	1	20	[0.023535558581217586, 0.11955316914374126]	[0.022212959107764725, 0.12184390387250399]	(0.031347838219844104, 0.12974725497647666)	0.036267187978070936	0.16953279236170515	2.0322073359709884e-25	0
0.05	1540	1	21	[0.024642311100062653, 0.11831507563066335]	[0.024059860577963887, 0.11961918682661371]	(0.03226299419916934, 0.1264174070814954)	0.019742308700881894	0.1544878380935858	2.1068311144412425e-21	0
0.05	1540	1	23	[0.026640243246406015, 0.11608872436391549]	[0.0258099632498403, 0.11741148721896066]	(0.033189653937240715, 0.12438128610479104)	0.02350444357603365	0.15184994959808729	2.693573989745824e-16	0
0.05	1540	1	24	[0.027546378007236805, 0.11508265623790792]	[0.02660458286827548, 0.11518450542521473]	(0.03337284071474833, 0.1214354746741082)	0.011781951215833142	0.1297198671207287	3.504218713964931e-17	0
0.05	1540	1	26	[0.029202793984095643, 0.11324943507650509]	[0.02863978038617305, 0.11379500476230561]	(0.03461810422526623, 0.11949409962852997)	0.013018382510819104	0.12913729300927668	3.790848134540322e-15	0
0.05	1540	1	27	[0.02996267690023191, 0.11241097207834949]	[0.028820504421816287, 0.11311368833178347]	(0.03545106845329771, 0.1184803658405249)	0.02188657073174627	0.13057034648788868	2.671188084187186e-14	0
0.05	1540	1	29	[0.03136543954965165, 0.11086730721289473]	[0.030303824939194993, 0.11183311857932295]	(0.03711749850386259, 0.11701460776448702)	0.024867454216321083	0.13893140766943413	1.6293819277142602e-18	0
0.05	1540	1	30	[0.032014801958205386, 0.11015453880712534]	[0.031164423167396038, 0.11068136993110428]	(0.0365879803877468, 0.11579428437281714)	0.017319703168191203	0.12190244796083871	5.572062427517758e-14	0
0.05	1540	1	32	[0.03322303203721988, 0.10883138535815728]	[0.03238061539042367, 0.11036924751909089]	(0.03788276703988014, 0.11541643116808598)	0.030520843137789355	0.13680880619969638	1.8758494725821537e-13	0
0.05	1540	1	33	[0.03378645519691692, 0.10821572430302673]	[0.03321778641872986, 0.10952855364243078]	(0.03841629901398946, 0.11471308775131983)	0.024655735829199554	0.13749747041414806	1.9015500505769646e-14	0
0.05	1540	1	35	[0.034841596433075384, 0.1070650623437901]	[0.034776956163229976, 0.10751449097077714]	(0.03932752190161115, 0.11112681243039357)	0.007067450088769189	0.11204891332338551	8.729190496742601e-11	0
0.05	1540	1	36	[0.035336621761546394, 0.10652625668390792]	[0.034557294831496554, 0.10783511639792034]	(0.03961672889808954, 0.1123199025418623)	0.02849684392117746	0.1308563741683677	2.3329562552242244e-13	0
0.05	1540	1	38	[0.036268707195189265, 0.10551352327135055]	[0.0358828845832222, 0.10527900949635427]	(0.040270754963421695, 0.10825531176307956)	0.008908957301710263	0.09368182178395923	2.9081992988521125e-10	0
0.05	1540	1	40	[0.03713154924969453, 0.10457809803582174]	[0.03660676923488198, 0.10487084434636351]	(0.0406652496031511, 0.10762693521663236)	0.01197593791491669	0.0933754378953876	5.091239683739569e-10	0
