alpha	dataset_size	minimum_threshold_alpha	sample_size	confidence_interval_taylor	confidence_interval_empirical	confidence_interval_empirical_percentile	error	error_empirical	normal_distribution_pvalue	follows_normal
0.05	127162	1.1414080044713393	1398	[0.11684574039903739, 0.16730878427153872]	[0.11713565252256723, 0.16732840861030135]	(0.11880370267804374, 0.1696309695463415)	0.006131539264071617	0.08108608455340427	7.157763633861829e-06	0
0.05	127162	1.1414080044713393	1525	[0.11796158682920876, 0.16625331138242438]	[0.11844047871653765, 0.16567365566752953]	(0.11995681801563729, 0.16754079700188607)	0.02191985504798566	0.06621155912845267	0.0005179812011854864	0
0.05	127162	1.1414080044713393	1653	[0.11895283649103239, 0.16531352378637898]	[0.11926381572023023, 0.1653429977638007]	(0.1203069205935623, 0.1667601974987597)	0.007338909744627808	0.05858423798916501	0.014299041222725161	1
0.05	127162	1.1414080044713393	1780	[0.11982825401647346, 0.16448185150141215]	[0.12017399381939536, 0.16371721003592266]	(0.12121235339940828, 0.16494809120669018)	0.024866557924832833	0.0410094362799267	0.005203258641910727	0
0.05	127162	1.1414080044713393	1907	[0.12061439459947043, 0.1637336295773053]	[0.1209351300401506, 0.16388462115222174]	(0.12180580899834381, 0.16515488039064197)	0.010901884579262	0.05865821096921897	0.0043660999194909235	0
0.05	127162	1.1414080044713393	2034	[0.12132549571641105, 0.1630557119474959]	[0.1217620232531674, 0.16258044065164626]	(0.12293447358407461, 0.16382721612493567)	0.021849846824584684	0.056009074979135876	0.0003764402811654654	0
0.05	127162	1.1414080044713393	2161	[0.12197280721610615, 0.16243768360835542]	[0.12255495456956503, 0.16182595934934554]	(0.12349753238158567, 0.16274730078923882)	0.02950389866253078	0.04498749550556336	0.013723772074417936	1
0.05	127162	1.1414080044713393	2288	[0.12256535163955462, 0.16187117150508556]	[0.12258155480654769, 0.16195641431026586]	(0.12326861731507366, 0.16319920334816296)	0.0025753550499867384	0.049990277396373406	0.0003678745799146061	0
0.05	127162	1.1414080044713393	2416	[0.12311458145304188, 0.16134540973932454]	[0.12316604385649851, 0.16128570333435335]	(0.12387524332078259, 0.162107816182528)	0.002907831543574102	0.039059809259488154	0.02686261433515457	1
0.05	127162	1.1414080044713393	2543	[0.12361797779162809, 0.16086296322450733]	[0.12389482514445477, 0.16066469668373562]	(0.12476260529710315, 0.16129967245870758)	0.012756452662724516	0.041965648138878486	0.01632971255791496	1
0.05	127162	1.1414080044713393	2670	[0.1240850095221161, 0.16041488833829898]	[0.12443589129843043, 0.1604291102418237]	(0.12520444569094957, 0.1614439417239376)	0.01004574807490255	0.05750939408186184	0.004250085928736043	0
0.05	127162	1.1414080044713393	2797	[0.1245198695755233, 0.15999726362811728]	[0.12460768672259187, 0.1599732563722721]	(0.12541509359898984, 0.1609538291300332)	0.0031519903279244588	0.0508259203233713	0.00014378344058449684	0
0.05	127162	1.1414080044713393	2924	[0.12492610385899494, 0.15960676750005365]	[0.1251644108033959, 0.15958074720800952]	(0.12617778046695693, 0.16060404482421176)	0.007621746780305472	0.06303485770977235	0.005268301869806818	0
0.05	127162	1.1414080044713393	3051	[0.1253067341895593, 0.1592405651015364]	[0.12527482158149425, 0.15903070373824282]	(0.12611367323953804, 0.16014483028524484)	0.007118171024754427	0.049118764383313196	0.001415461109365483	0
0.05	127162	1.1414080044713393	3179	[0.12566708459220977, 0.15889358980318313]	[0.1258502003726713, 0.15872742839880616]	(0.12630422548564757, 0.159501471446565)	0.010512004877454406	0.03679754984711425	0.021670198243739263	1
0.05	127162	1.1414080044713393	3306	[0.12600377790236128, 0.15856914350908125]	[0.12613968241370102, 0.15855537263094924]	(0.12688479077289083, 0.15936655339943118)	0.004596152589819602	0.05030824731674055	0.011534522258804917	1
0.05	127162	1.1414080044713393	3433	[0.1263216606116072, 0.15826260168652984]	[0.12647604038768417, 0.1582619577494681]	(0.12694982135486965, 0.1586846648306487)	0.0048534485184722476	0.03245137195153758	0.01637286507588959	1
0.05	127162	1.1414080044713393	3560	[0.1266224308434334, 0.15797236318824615]	[0.12669555350857373, 0.15766595783419454]	(0.1271854184556468, 0.15829892473104024)	0.012106183037895457	0.02808231107153958	0.060962516715147894	1
0.05	127162	1.1414080044713393	3687	[0.12690757952950682, 0.15769702069725056]	[0.12712182933187133, 0.15754292192680663]	(0.12747808293873786, 0.1582930944167683)	0.011963470554779865	0.037169284395658364	0.0016478232088478722	0
0.05	127162	1.1414080044713393	3814	[0.12717842181574102, 0.1574353315453838]	[0.12709753294239803, 0.15730477257869155]	(0.12761995375473978, 0.15771002105983356)	0.006969781914711093	0.023458366780020445	0.0553339988533362	1
0.05	127162	1.1414080044713393	3942	[0.12743810266726185, 0.15718427914023425]	[0.12764978292995544, 0.1571048313654026]	(0.12829332818766592, 0.15754150487901375)	0.009787074240945048	0.04027622029746014	0.10703813813001825	1
0.05	127162	1.1414080044713393	4069	[0.12768360735746087, 0.15694679897540353]	[0.1277600315259024, 0.15703923116485088]	(0.1282631502212681, 0.15755324578308028)	0.00575209571415658	0.039705524873938414	0.31089777966027365	1
0.05	127162	1.1414080044713393	4196	[0.1279179395566521, 0.15672000554623178]	[0.12796043362256415, 0.1566396831419769]	(0.12858357552580368, 0.15750747691709222)	0.004264154877339887	0.04910882256492344	0.018817315868141563	1
0.05	127162	1.1414080044713393	4323	[0.12814192785114664, 0.1565031130776009]	[0.128184914523752, 0.15653275887826132]	(0.12848597376655824, 0.15690801362313578)	0.002558307405528537	0.02603574455290536	0.07107900761566857	1
0.05	127162	1.1414080044713393	4450	[0.1283563172349278, 0.15629541449951057]	[0.12831485877737084, 0.15618394902995]	(0.12875022020976956, 0.15661207091923934)	0.005465364184904953	0.02514742315881191	0.03429594971154573	1
0.05	127162	1.1414080044713393	4577	[0.12856177964890203, 0.15609627158586437]	[0.1285100703524162, 0.15609436726101353]	(0.12904961046425978, 0.1566370021694946)	0.0019434941724288946	0.036635912617738464	0.14285047901940612	1
0.05	127162	1.1414080044713393	4704	[0.12875892294044988, 0.15590510656312173]	[0.12885527074578518, 0.15582689477830408]	(0.12953453498067535, 0.15628964182742922)	0.006430354726074894	0.04214010209089192	0.049740283852222233	1
0.05	127162	1.1414080044713393	4832	[0.12894976020200166, 0.1557199766669184]	[0.1290250899397236, 0.15569847479318286]	(0.1294206461402071, 0.15638187118363323)	0.0036171396516110343	0.04129395859030949	0.014138334156764729	1
0.05	127162	1.1414080044713393	4959	[0.12913181424532116, 0.1555432942107985]	[0.12904136167425695, 0.15537293705332816]	(0.12941501398705213, 0.15584781902732225)	0.009841158873034161	0.021998968897126714	0.25386209604157367	1
